spotify_id,name,artist,genre,album,release_date,popularity,preview_url,cover_image
31AOj9sFz2gM0O3hMARRBx,Losing My Religion,R.E.M.,alternative,Out Of Time (25th Anniversary Edition),1991-03-12,87,,https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,alternative,The Colour And The Shape,1997-05-20,87,https://p.scdn.co/mp3-preview/78fd3872e0fa5940b2a36654f07f11e7119be4e2?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Red Hot Chili Peppers,alternative,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,86,https://p.scdn.co/mp3-preview/46b0229c06712c5b5e143724c0617e51a9b6e432?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70
6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,alternative,Bleed American,2001-07-17,85,,https://i.scdn.co/image/ab67616d0000b27395d1d98c5176e4f982bd73d6
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,3 Doors Down,alternative,The Better Life,2000,84,,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1
1158ckiB5S4cpsdYHDB9IF,My Own Summer (Shove It),Deftones,alternative,Around the Fur,1997-10-27,82,https://p.scdn.co/mp3-preview/369351855a3f60831f17edb8ae86bd201c51619c?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,The Clash,alternative,Combat Rock (Remastered),1982,82,https://p.scdn.co/mp3-preview/30dfcd239fdb4a9ee277ff3a214a4f6771bd8cb3?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b27325a4df452a3c42ccc2e9288b
6QewNVIDKdSl8Y3ycuHIei,Even Flow,Pearl Jam,alternative,Ten,1991-08-27,81,https://p.scdn.co/mp3-preview/140dbc5942f12eeec92a28648e5b325ea71fb6ae?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864
7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,Pixies,alternative,Surfer Rosa,1988-03-21,81,https://p.scdn.co/mp3-preview/03da0b85c9fa2fb5e621e97d4fb145a17aaf7ef1?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273626ad9bb7d5f84c59652b161
57BrRMwf9LrcmuOsyGilwr,Crawling,Linkin Park,alternative,Hybrid Theory (Bonus Edition),2000,81,https://p.scdn.co/mp3-preview/757e39055aca3abc9157fe579869d63baca5a54e?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,The Black Keys,alternative,El Camino,2011-12-06,81,https://p.scdn.co/mp3-preview/cb384c17027f77dd419356db04186415edea2b90?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2736a21b97de47168df4f0c1993
4wzjNqjKAKDU82e8uMhzmr,Face Down,The Red Jumpsuit Apparatus,alternative,Don't You Fake It,2006-01-01,80,,https://i.scdn.co/image/ab67616d0000b273f98edbc89407338a90437d34
1Vej0qeQ3ioKwpI6FUbRv1,Papercut,Linkin Park,alternative,Hybrid Theory (Bonus Edition),2000,80,https://p.scdn.co/mp3-preview/dc49871bd9a79e4e75713689d9ccdfa008e62fb1?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,3 Doors Down,alternative,Away From The Sun,2002-11-12,80,,https://i.scdn.co/image/ab67616d0000b27383c39b0d32eb4a2064e1e228
5xsY1Bm1FItKFFoJ3b964t,Me Cuesta Tanto Olvidarte,Mecano,alternative,Entre el Cielo y el Suelo (Bonus Tracks Edition),1986-06-16,79,https://p.scdn.co/mp3-preview/583df67dafe193544ff5d9a27b34882adb31a58b?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b27309a8db435a4667425ab7e918
113xf7t4qNM7038YJvauik,Nervous,The Neighbourhood,alternative,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,78,https://p.scdn.co/mp3-preview/d9f49ecf6bf91e9d065f0c290671a7929cf21147?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix,alternative,Electric Ladyland,1968-10-25,78,https://p.scdn.co/mp3-preview/4f5eb4f96894dcab22691ebc7605cdbc4a7e70aa?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292
1L94M3KIu7QluZe63g64rv,Alive,Pearl Jam,alternative,Ten,1991-08-27,78,https://p.scdn.co/mp3-preview/95c625d5a50dd249d5c58aebe4baf8b6e4efa09e?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864
7oVEtyuv9NBmnytsCIsY5I,BURN IT DOWN,Linkin Park,alternative,LIVING THINGS,2012-06-20,78,https://p.scdn.co/mp3-preview/db2e04088575f248a4f0baf09b9165f18dd31ebb?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273987fb4c5ec8790e9f637a4a4
6gZVQvQZOFpzIy3HblJ20F,Man in the Box,Alice In Chains,alternative,Facelift,1990-08-01,78,https://p.scdn.co/mp3-preview/68dbc11f83265b4edfe18c5d968a6de048a388dd?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2731f829ea9c2c7ffcec1a3c857
