tag,match,similarity_score
happy,happy,1.0
feel good,happy,0.5883380174636841
feel good,happiness,0.5686466693878174
feel good,rejoicing,0.5453291535377502
feel good,gladness,0.543236494064331
feel good,feeling,0.5161386728286743
feel good,joy,0.5145283937454224
feel good,jubilant,0.5115875005722046
forever in heart,everlasting,0.6230165958404541
forever in heart,indelible,0.5227717161178589
special feeling,special,0.6419967412948608
special feeling,feeling,0.5918930768966675
heroes,heroics,0.6836457848548889
heroes,hero,0.6820943355560303
heroes,heroism,0.6354528665542603
heroes,heroic,0.6281123161315918
heroes,superman,0.5542808771133423
heroes,marvel,0.5283700823783875
heroes,injustice,0.5090574026107788
elegant,elegant,0.9999998807907104
powerful,powerful,0.9999997615814209
optimistic,optimism,0.8109179139137268
optimistic,hopeful,0.6618990898132324
optimistic,optimist,0.6398646831512451
optimistic,pessimist,0.625748872756958
optimistic,pessimism,0.5811634063720703
optimistic,confident,0.564294695854187
optimistic,cautious,0.5340215563774109
awesomeness,greatness,0.8047365546226501
awesomeness,coolness,0.697808563709259
awesomeness,gladness,0.5732778906822205
awesomeness,wickedness,0.5451993942260742
awesomeness,outstanding,0.5440704822540283
awesomeness,goodness,0.5309080481529236
awesomeness,superb,0.5268809199333191
my baby loves me,baby,0.5888124108314514
my baby loves me,love,0.5391406416893005
my baby loves me,infant,0.5134779214859009
jazzy fun,fun,0.6150476336479187
jazzy fun,playful,0.5335158109664917
soulful,soulless,0.7038270235061646
soulful,heartfelt,0.6057178378105164
soulful,sorrowful,0.6035255789756775
soulful,fruitful,0.5663526654243469
soulful,mournful,0.5549695491790771
soulful,luscious,0.5536920428276062
soulful,captivating,0.551969587802887
high energy,energetic,0.7516988515853882
high energy,explosive,0.5691573619842529
high energy,excitable,0.5326980352401733
high energy,enthusiasm,0.5131387710571289
high energy,hypertrophy,0.5112160444259644
high energy,frenetic,0.507350742816925
high energy,lofty,0.5003700852394104
good morning,greeting,0.6685681343078613
good morning,morn,0.5384632349014282
success,success,1.0
wholesome fun,fun,0.6975712776184082
wholesome fun,wholesome,0.6523728966712952
wholesome fun,amusement,0.5906981229782104
wholesome fun,happiness,0.5463665723800659
wholesome fun,lovemaking,0.541824460029602
wholesome fun,joy,0.5326626300811768
wholesome fun,playful,0.5322892665863037
playground love,playground,0.7636739015579224
playground love,love,0.588057279586792
sweetness,sweetness,1.0
feeling good,rejoicing,0.6798590421676636
feeling good,feeling,0.6617056727409363
feeling good,happiness,0.6259716153144836
feeling good,gladness,0.6034168601036072
feeling good,exhilaration,0.597970187664032
feeling good,happy,0.5930516719818115
feeling good,smiling,0.5733760595321655
joyous,joyous,0.9999998807907104
fun stuff,fun,0.6597137451171875
fun stuff,entertaining,0.5166149139404297
happiness,happiness,1.000000238418579
very mellow,melancholic,0.5903453826904297
very mellow,tranquil,0.5544527173042297
very mellow,calm,0.550515353679657
very mellow,serene,0.5499522686004639
very mellow,quiet,0.5491933226585388
very mellow,soothing,0.5335632562637329
very mellow,sullen,0.5272419452667236
love fun,fun,0.7548336982727051
love fun,thrill,0.5944274067878723
love fun,amusement,0.5764506459236145
love fun,playful,0.5348184704780579
love fun,entertaining,0.5326273441314697
love fun,lovemaking,0.5180621147155762
love fun,adventure,0.5134136080741882
scummy,horrid,0.6564819812774658
scummy,scum,0.639083206653595
scummy,trashy,0.6239917278289795
scummy,abhorrent,0.6209458708763123
scummy,sketchy,0.6043278574943542
scummy,deplorable,0.5879755020141602
scummy,bawdy,0.5765076875686646
soulful delicious,delicious,0.6332175135612488
soulful delicious,nutritious,0.6183626651763916
soulful delicious,luscious,0.6127934455871582
soulful delicious,soulless,0.5940883755683899
soulful delicious,scrumptious,0.5928466320037842
soulful delicious,exquisite,0.58937007188797
soulful delicious,delectable,0.585666835308075
smooth soul,soulless,0.5870511531829834
smooth soul,smoothness,0.5837648510932922
sun is shining,sunshine,0.6070324182510376
sun is shining,sun,0.6007720232009888
sun is shining,shining,0.533428430557251
sun is shining,glowing,0.5102468729019165
sun is shining,sunny,0.504676103591919
sunshine,sunshine,1.0
broken heart,heartache,0.6772361993789673
broken heart,sadness,0.5979342460632324
broken heart,breakup,0.5693851709365845
broken heart,heartfelt,0.5554177165031433
broken heart,broke,0.535254716873169
broken heart,distraught,0.5237301588058472
broken heart,sorrow,0.5207668542861938
get happy,happiness,0.6971884965896606
get happy,happy,0.6871623992919922
get happy,unhappy,0.6481223106384277
get happy,cheerful,0.6077256202697754
get happy,joy,0.5558007955551147
get happy,smiling,0.5531540513038635
get happy,unhappiness,0.5509234070777893
rainbows,sunshine,0.6129802465438843
rainbows,yellows,0.5605621337890625
rainbows,green,0.525871992111206
rainbows,radiance,0.5006484985351562
positive thinking,mindfulness,0.6280161142349243
positive thinking,encouragement,0.6258995532989502
positive thinking,optimism,0.6015011072158813
positive thinking,pessimism,0.6010316610336304
positive thinking,thoughtfulness,0.5955419540405273
positive thinking,cheerfulness,0.5815368890762329
positive thinking,succeeding,0.5334168672561646
in love,love,0.6838951110839844
