spotify_id,tag,count,normalized_count,source
003vvx7Niy0yvhvHt4a68B,happy,3,0.03,LastFM
00WvmRXTkPBZNhhRK3xfdy,feel good,2,0.02,LastFM
00i2HU7TEzzftShjRrDSEF,special feeling,2,0.02,LastFM
00i2HU7TEzzftShjRrDSEF,special feeling,2,0.02,LastFM
00jqmEUSISjkugkuFxGiTo,heroes,3,0.03,LastFM
00kG2B5W9MQYdPxrICYhNg,elegant,5,0.05,LastFM
00qOE7OjRl0BpYiCiweZB2,powerful,2,0.02,LastFM
01PCVuhAgFXmqr5YKNxNx0,optimistic,50,0.5,LastFM
01PnRJeFSeOgIpBuv1kQKd,happy,1,0.01,LastFM
01R3dELmvQpeCgQQGHQPS6,awesomeness,4,0.04,LastFM
01RVupyBFNuALcAFZjL4FY,my baby loves me,3,0.03,LastFM
01RVupyBFNuALcAFZjL4FY,happy,3,0.03,LastFM
01RVupyBFNuALcAFZjL4FY,jazzy fun,5,0.05,LastFM
02QQXgeAghpU4smdM7l7We,soulful,4,0.04,LastFM
02mQcDoU5cn15U6tqZmL4e,happy,3,0.03,LastFM
03AhYPRQeOqG2j54Tdg94E,high energy,2,0.02,LastFM
03NejRMxYMMCFo2Ylsia6l,good morning,3,0.03,LastFM
04Lfe4r35E38e6D0FlJKfn,feel good,6,0.06,LastFM
04Lfe4r35E38e6D0FlJKfn,success,6,0.06,LastFM
04bsExZXrwoRXYKKDWlTIU,wholesome fun,2,0.02,LastFM
04uR2cdkgiaLIzebPcs25m,feel good,12,0.12,LastFM
04uR2cdkgiaLIzebPcs25m,happy,2,0.02,LastFM
04uR2cdkgiaLIzebPcs25m,happy,4,0.04,LastFM
04uR2cdkgiaLIzebPcs25m,happy,4,0.04,LastFM
052z2UsE2wPrHsBJ9tly0g,playground love,4,0.04,LastFM
05CF4ATpqROLTQVYABNZ3W,feel good,4,0.04,LastFM
06JokgprGDKrtZ1eP6z2CQ,happy,2,0.02,LastFM
07M76e7IXxYdnC1BBiJxEX,soulful,4,0.04,LastFM
07TQDFaoLBwvo6JU1nnaiU,feeling good,3,0.03,LastFM
07TQDFaoLBwvo6JU1nnaiU,happy,3,0.03,LastFM
085diW9d1iWe9qeNQiDYOw,joyous,2,0.02,LastFM
085diW9d1iWe9qeNQiDYOw,fun stuff,2,0.02,LastFM
085diW9d1iWe9qeNQiDYOw,happiness,2,0.02,LastFM
0870QNicMawQH2cnzBVZ3P,happy,2,0.02,LastFM
08DeDU0qAaNSZ36YVCsBJW,feel good,3,0.03,LastFM
08DeDU0qAaNSZ36YVCsBJW,happy,12,0.12,LastFM
08DeDU0qAaNSZ36YVCsBJW,love fun,3,0.03,LastFM
08EgS4Nqe1jPkI9tx9Dq3S,happy,2,0.02,LastFM
08zvzy2FD1V0wFn8mhiQaH,scummy,2,0.02,LastFM
08zvzy2FD1V0wFn8mhiQaH,scummy,2,0.02,LastFM
097OvOx07eXC4UmdnywvoE,feel good,2,0.02,LastFM
097OvOx07eXC4UmdnywvoE,happy,2,0.02,LastFM
09UeSB8eRi7Pysvgoo62oB,smooth soul,2,0.02,LastFM
09athuEe5kQfC7bV63jmGa,sun is shining,4,0.04,LastFM
09hxCc0SgV8u46gWsfeqJA,high energy,2,0.02,LastFM
09hxCc0SgV8u46gWsfeqJA,high energy,2,0.02,LastFM
09jscLcwa4usINbtfzo5FL,sunshine,8,0.08,LastFM
09kEUjIvixNShjfl3YoyWo,smooth soul,2,0.02,LastFM
09kEUjIvixNShjfl3YoyWo,feel good,2,0.02,LastFM
09kEUjIvixNShjfl3YoyWo,soulful,2,0.02,LastFM
09kEUjIvixNShjfl3YoyWo,smooth soul,2,0.02,LastFM
09opLVMX7cfKVKlP3iKZR1,happy,1,0.01,LastFM
09opLVMX7cfKVKlP3iKZR1,happy,1,0.01,LastFM
0AKAxdNkwq9ZxRdW1DN9zW,broken heart,2,0.02,LastFM
0AO5Hky7kkE2Xd3XCwlZCA,feel good,3,0.03,LastFM
0AO5Hky7kkE2Xd3XCwlZCA,sunshine,3,0.03,LastFM
0APt4t1Dab58sYmGQ4jgij,get happy,4,0.04,LastFM
0AZb6ryK8LsFcvY1jWHO61,feel good,4,0.04,LastFM
0AZb6ryK8LsFcvY1jWHO61,happy,54,0.54,LastFM
0AZb6ryK8LsFcvY1jWHO61,rainbows,4,0.04,LastFM
0AZb6ryK8LsFcvY1jWHO61,sunshine,8,0.08,LastFM
0BUoLE4o9eVahDHvTqak67,feel good,5,0.05,LastFM
0CZQNI3Evb4Nd8GeU49LFj,happy,2,0.02,LastFM
0DVxWV6V1nWa7Ml68Frd3D,happy,2,0.02,LastFM
0F845nujLVqCb0XMZCh5Pc,in love,1,0.01,LastFM
0F845nujLVqCb0XMZCh5Pc,peaceful,2,0.02,LastFM
0FxRbTtlo8AutEbifokqGf,powerful,2,0.02,LastFM
0HLBLRkkTOlAmjonShicD0,morning vibes,5,0.05,LastFM
0HSb1M8JyOxD8OiGriSzWL,high energy,2,0.02,LastFM
0HTFDQQb7auJ2dZwXtPK5e,happy,34,0.34,LastFM
0Hc3mb1DK6Q1iOEuhLhQmD,jazzy fun,17,0.17,LastFM
0I2ELF6uHlL4ABu9aFiou7,feel good,3,0.03,LastFM
0I2ELF6uHlL4ABu9aFiou7,feel good,3,0.03,LastFM
0I2ELF6uHlL4ABu9aFiou7,fun stuff,3,0.03,LastFM
0I2ELF6uHlL4ABu9aFiou7,feel good,3,0.03,LastFM
0I2ELF6uHlL4ABu9aFiou7,feel good,3,0.03,LastFM
0I2ELF6uHlL4ABu9aFiou7,fun stuff,3,0.03,LastFM
0I2ELF6uHlL4ABu9aFiou7,feel good,3,0.03,LastFM
0I2ELF6uHlL4ABu9aFiou7,fun stuff,3,0.03,LastFM
0J8A1ZVyJcRZxFNvtp6jRh,smooth soul,4,0.04,LastFM
0JPntF36B28bSTUkjplyNd,feel good,4,0.04,LastFM
0JgMWvvUhH6UyWOG2oeG1b,broken heart,100,1.0,LastFM
0LBmvPJYmtEJ7kkWvc3kbT,consoling and beautiful,2,0.02,LastFM
0LDauNxnqI5nsyCa2Xsc5W,soulful,5,0.05,LastFM
0M5xRyxGpFFDfzN2x0wdpH,happy,1,0.01,LastFM
0M5xRyxGpFFDfzN2x0wdpH,powerful,1,0.01,LastFM
0MCEM7WuIw4tS9ih4HGE1S,funky jazzy breaks,8,0.08,LastFM
0MCEM7WuIw4tS9ih4HGE1S,funky jazzy breaks,8,0.08,LastFM
0MU1TyyAbuoXLGiQBgW9CI,awesomeness,2,0.02,LastFM
0MkINaEoNBJfG9G6ewd4xM,positive vibes,2,0.02,LastFM
0NIRG3SEn2Zf88o3qHJil5,smile,4,0.04,LastFM
0Nk87FwUbe8EDChiGqR1pM,elegant,2,0.02,LastFM
0Nk87FwUbe8EDChiGqR1pM,happy,2,0.02,LastFM
0PV1TFUMTBrDETzW6KQulB,happy,1,0.01,LastFM
0PV1TFUMTBrDETzW6KQulB,happy,1,0.01,LastFM
0PVgef4kvggErf7OS2oktc,happy,4,0.04,LastFM
0PVgef4kvggErf7OS2oktc,jubilant,2,0.02,LastFM
